[0510/165454:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/171446:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/171829:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/173116:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/174752:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/180419:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/181732:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/184653:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/190046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/190315:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/190443:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/190743:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0510/191347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0513/175048:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0513/185035:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0513/185236:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0513/185429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0517/183330:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0518/213431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0518/214120:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0519/165304:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/151504:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/151655:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/151933:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/152153:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/152719:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/152920:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/153244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/153415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/153725:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/153807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/154034:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/154441:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/155056:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/155158:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/155607:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/160915:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/161020:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/161116:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/163452:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/163706:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/165349:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/170154:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/170701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/171207:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/171348:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/172534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/172652:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/172940:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/173100:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/181224:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/181506:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/182950:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/183203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/183602:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/184146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/190421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/190623:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/202653:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/202832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/203031:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/205944:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0701/210225:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/191528:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0704/192117:ERROR:file_io.cc(30)] read: expected 4, observed 0
