[0816/193058:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/203509:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/204525:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/212118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/212638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0816/213118:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0819/171930:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0819/173149:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0825/211852:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0825/212327:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0907/233524:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/012844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/013555:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/014335:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/015215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/020043:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/030912:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/043456:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0908/202854:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/194438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/200429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/200705:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/200824:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/201007:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/201123:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/201648:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/202203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/202630:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/202722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/202952:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/203756:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/205044:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/205917:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/210009:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/210111:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/210149:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0909/210733:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/011228:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/011815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/012243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/022503:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/025708:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/025930:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/030053:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/030339:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/030445:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/030728:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/030844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/034917:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/035017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/035350:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/035833:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/040121:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/040727:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/041500:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/042859:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/043203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/044254:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/044625:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/044925:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/050449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/050616:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/051723:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/052203:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/052545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/052620:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/052807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/053119:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/053257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/053324:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/053426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/053504:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/053820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/054105:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/054126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/054156:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/054505:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/075219:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/075622:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/161452:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/162247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/162820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/163650:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0913/164252:ERROR:file_io.cc(30)] read: expected 4, observed 0
